Jahr;Import/Export;Maßeinheit;WZ;Kennzahl;Polymerart/Packmittel;Warenverzeichnis;Warennummer;Monat;relative Veränderung zum Vorjahr/Vorjahresmonat/Vorjahresquartal;Jahr-Monat
2015,0;Ausfuhr;Anzahl;2222;3973397551,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;;2015-TOTAL
2016,0;Ausfuhr;Anzahl;2222;4081228230,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;2,7138155096728678;2016-TOTAL
2017,0;Ausfuhr;Anzahl;2222;4066404118,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-0,36322673383056836;2017-TOTAL
2018,0;Ausfuhr;Anzahl;2222;3981167508,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-2,0961175408685695;2018-TOTAL
2019,0;Ausfuhr;Anzahl;2222;3926479135,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-1,3736767641679415;2019-TOTAL
2020,0;Ausfuhr;Anzahl;2222;3843466158,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-2,114183576325057;2020-TOTAL
2021,0;Ausfuhr;Anzahl;2222;3776553819,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-1,7409373791603455;2021-TOTAL
2022,0;Ausfuhr;Anzahl;2222;3414346476,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-9,590948795108378;2022-TOTAL
2023,0;Ausfuhr;Anzahl;2222;3468397237,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;1,5830485095736924;2023-TOTAL
2024,0;Ausfuhr;Anzahl;2222;3628166132,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;4,606418587110639;2024-TOTAL
2015,0;Ausfuhr;Tsd. EUR;2222;2918377,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;;2015-TOTAL
2016,0;Ausfuhr;Tsd. EUR;2222;3010009,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;3,1398273766549023;2016-TOTAL
2017,0;Ausfuhr;Tsd. EUR;2222;4199389,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;39,51416756561193;2017-TOTAL
